Contenedores usados:  0
Volumen disponible:  1857m3
Volumen Ocupado:  1901m3 - (50.58541777541245%)
Cajas a transportar:  44
	Contenedor		Formato		Coordenadas		Orientacion 
	0			T		(0,161,0) 		2
	0			V		(0,161,50) 		2
	0			\		(0,164,99) 		2
	0			A		(0,163,147) 		2
	0			S		(50,162,0) 		2
	0			H		(50,166,47) 		2
	0			h		(50,166,97) 		2
	0			Y		(50,161,147) 		2
	0			G		(95,165,0) 		2
	0			a		(95,167,47) 		2
	0			Z		(95,165,97) 		2
	0			D		(95,163,143) 		2
	0			B		(141,165,0) 		2
	0			I		(141,164,46) 		2
	0			_		(141,169,92) 		2
	0			e		(141,167,142) 		2
	0			E		(183,161,0) 		2
	0			f		(183,171,41) 		2
	0			J		(183,168,91) 		2
	0			`		(183,166,134) 		2
	0			Q		(183,161,179) 		2
	0			g		(223,161,0) 		2
	0			K		(223,167,50) 		2
	0			R		(223,167,94) 		2
	0			F		(223,162,134) 		2
	0			W		(223,166,182) 		2
	0			l		(252,167,0) 		2
	0			N		(252,162,38) 		2
	0			X		(252,168,77) 		2
	0			C		(252,161,119) 		2
	0			^		(252,169,155) 		2
	0			U		(0,113,0) 		2
	0			M		(0,177,35) 		2
	0			L		(0,170,80) 		2
	0			c		(0,162,116) 		2
	0			]		(0,172,153) 		2
	0			k		(0,163,190) 		2
	0			j		(31,168,0) 		2
	0			[		(31,165,39) 		2
	0			O		(31,169,71) 		2
	0			P		(31,169,106) 		2
	0			i		(31,180,136) 		2
	0			b		(31,169,167) 		2
	0			d		(31,185,198) 		2
