Contenedores usados:  3
Volumen disponible:  1000m3
Volumen Ocupado:  1000m3 - (50.0%)
Cajas a transportar:  31
	Contenedor		Formato		Coordenadas		Orientacion 
	0			C		(0,50,0) 		2
	0			C		(0,50,20) 		2
	0			C		(0,50,41) 		2
	0			C		(21,50,0) 		2
	0			C		(21,50,21) 		2
	0			B		(21,48,42) 		2
	0			B		(0,28,0) 		2
	0			B		(0,48,33) 		2
	0			B		(11,48,0) 		2
	0			B		(11,48,33) 		2
	0			B		(22,48,0) 		2
	0			B		(22,48,33) 		2
	0			B		(33,48,0) 		2
	0			B		(33,48,33) 		2
	0			B		(0,6,0) 		2
	0			B		(0,48,33) 		2
	0			A		(11,58,0) 		2
	0			A		(11,58,32) 		2
	0			A		(22,58,0) 		2
	0			A		(22,58,32) 		2
	0			A		(33,58,0) 		2
	0			A		(33,58,32) 		2
	1			A		(0,58,0) 		2
	1			A		(0,58,11) 		2
	1			A		(0,58,43) 		2
	2			A		(0,58,0) 		2
	2			A		(0,58,11) 		2
	2			A		(0,58,43) 		2
	3			A		(0,58,0) 		2
	3			A		(0,58,11) 		2
	3			A		(0,58,43) 		2
